title,authors,publication_year,doi,abstract,cited_by_count,source_name,openalex_id,landing_page_url,keyword,retrieved_at,relevance_score,impact_score,recency_score,completeness_score,preliminary_score
Stellar Spectra Models Classification and Parameter Estimation Using Machine Learning Algorithms,Miguel Flores R.; L. J. Corral; C. Fierro,2021,10.48550/arxiv.2105.07110,"The growth of sky surveys and the large amount of stellar spectra in the current databases, has generated the necessity of developing new methods to estimate atmospheric parameters, a fundamental task on stellar research. In this work we present a comparison of different machine learning algorithms, using for the classification of stellar synthetic spectra and the estimation of fundamental stellar parameters included T_eff(K), log(L/Lo), log g, M/Mo, and Vrot. For both tasks, we established a group of supervised learning models, and propose a database of measures with the same structure to train the algorithms. This data includes equivalent-width types measurements over noisy synthetic spectra in order to replicate the natural noise on a real observed spectrum. Different levels of signal to noise ratio are considered for this analysis.",6,arXiv (Cornell University),https://openalex.org/W3161623437,http://arxiv.org/abs/2105.07110,machine learning stellar spectra,2026-07-18T08:53:25+00:00,1.0,0.2864,0.5,1.0,0.6859
Star formation rates and stellar masses from machine learning,V. Bonjean; N. Aghanim; P. Salomé; A. Beelen; M. Douspis; E. Soubrié,2019,10.1051/0004-6361/201833972,"Star-formation activity is a key property to probe the structure formation and hence characterise the large-scale structures of the universe. This information can be deduced from the star formation rate (SFR) and the stellar mass ( M ⋆ ), both of which, but especially the SFR, are very complex to estimate. Determining these quantities from UV, optical, or IR luminosities relies on complex modeling and on priors on galaxy types. We propose a method based on the machine-learning algorithm Random Forest to estimate the SFR and the M ⋆ of galaxies at redshifts in the range 0.01 &lt; z &lt; 0.3, independent of their type. The machine-learning algorithm takes as inputs the redshift, WISE luminosities, and WISE colours in near-IR, and is trained on spectra-extracted SFR and M ⋆ from the SDSS MPA-JHU DR8 catalogue as outputs. We show that our algorithm can accurately estimate SFR and M ⋆ with scatters of σ SFR = 0.38 dex and σ M ⋆ = 0.16 dex for SFR and stellar mass, respectively, and that it is unbiased with respect to redshift or galaxy type. The full-sky coverage of the WISE satellite allows us to characterise the star-formation activity of all galaxies outside the Galactic mask with spectroscopic redshifts in the range 0.01 &lt; z &lt; 0.3. The method can also be applied to photometric-redshift catalogues, with best scatters of σ SFR = 0.42 dex and σ M ⋆ = 0.24 dex obtained in the redshift range 0.1 &lt; z &lt; 0.3.",53,Astronomy and Astrophysics,https://openalex.org/W2907474932,https://doi.org/10.1051/0004-6361/201833972,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.825,0.5872,0.3,1.0,0.6662
Assessing the performance of LTE and NLTE synthetic stellar spectra in a machine learning framework,Spencer Bialek; S. Fabbro; Kim A. Venn; Nripesh Kumar; Teaghan O’Briain; Kwang Moo Yi,2020,10.1093/mnras/staa2582,"ABSTRACT In the current era of stellar spectroscopic surveys, synthetic spectral libraries are the basis for the derivation of stellar parameters and chemical abundances. In this paper, we compare the stellar parameters determined using five popular synthetic spectral grids (INTRIGOSS, FERRE, AMBRE, PHOENIX, and MPIA/1DNLTE) with our convolutional neural network (CNN, StarNet). The stellar parameters are determined for six physical properties (effective temperature, surface gravity, metallicity, [α/Fe], radial velocity, and rotational velocity) given the spectral resolution, signal-to-noise ratio, and wavelength range of optical FLAMES-UVES spectra from the Gaia-ESO Survey. Both CNN modelling and epistemic uncertainties are incorporated through training an ensemble of networks. StarNet training was also adapted to mitigate differences between the synthetic grids and observed spectra by augmenting with realistic observational signatures (i.e. resolution matching, wavelength sampling, Gaussian noise, zeroing flux values, rotational and radial velocities, continuum removal, and masking telluric regions). Using the FLAMES-UVES spectra for FGK-type dwarfs and giants as a test set, we quantify the accuracy and precision of the stellar label predictions from StarNet. We find excellent results over a wide range of parameters when StarNet is trained on the MPIA/1DNLTE synthetic grid, and acceptable results over smaller parameter ranges when trained on the 1DLTE grids. These tests also show that our CNN pipeline is highly adaptable to multiple simulation grids.",24,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W3081618654,https://doi.org/10.1093/mnras/staa2582,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.85,0.4738,0.4,1.0,0.6621
The Challenge of Machine Learning in Space Weather: Nowcasting and Forecasting,Enrico Camporeale,2019,10.1029/2018sw002061,"Abstract The numerous recent breakthroughs in machine learning make imperative to carefully ponder how the scientific community can benefit from a technology that, although not necessarily new, is today living its golden age. This Grand Challenge review paper is focused on the present and future role of machine learning in Space Weather. The purpose is twofold. On one hand, we will discuss previous works that use machine learning for Space Weather forecasting, focusing in particular on the few areas that have seen most activity: the forecasting of geomagnetic indices, of relativistic electrons at geosynchronous orbits, of solar flares occurrence, of coronal mass ejection propagation time, and of solar wind speed. On the other hand, this paper serves as a gentle introduction to the field of machine learning tailored to the Space Weather community and as a pointer to a number of open challenges that we believe the community should undertake in the next decade. The recurring themes throughout the review are the need to shift our forecasting paradigm to a probabilistic approach focused on the reliable assessment of uncertainties, and the combination of physics‐based and machine learning approaches, known as gray box.",398,Space Weather,https://openalex.org/W2920947047,https://doi.org/10.1029/2018sw002061,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.5,0.8816,0.3,1.0,0.6245
Classification of large-scale stellar spectra based on the non-linearly assembling learning machine,Zhongbao Liu; Lipeng Song; Wenjuan Zhao,2015,10.1093/mnras/stv2600,"An important problem to be solved of traditional classification methods is they cannot deal with large-scale classification because of very high time complexity. In order to solve above problem, inspired by the thinking of collaborative management, the non-linearly assembling learning machine (NALM) is proposed and used in the large-scale stellar spectral classification. In NALM, the large-scale dataset is firstly divided into several subsets, and then the traditional classifiers such as support vector machine (SVM) runs on the subset, finally, the classification results on each subset are assembled and the overall classification decision is obtained. In comparative experiments, we investigate the performance of NALM in the stellar spectral subclasses classification compared with SVM. We apply SVM and NALM respectively to classify the four subclasses of K-type spectra, three subclasses of F-type spectra and three subclasses of G-type spectra from Sloan Digital Sky Survey (SDSS). The comparative experiment results show that the performance of NALM is much better than SVM in view of the classification accuracy and the computation time.",13,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W2206825795,https://doi.org/10.1093/mnras/stv2600,machine learning stellar spectra,2026-07-18T08:53:25+00:00,1.0,0.3885,0.0,1.0,0.6165
A survey of machine learning for big data processing,Junfei Qiu; Qihui Wu; Guoru Ding; Yuhua Xu; Shuo Feng,2016,10.1186/s13634-016-0355-x,"There is no doubt that big data are now rapidly expanding in all science and engineering domains. While the potential of these massive data is undoubtedly significant, fully making sense of them requires new ways of thinking and novel learning techniques to address the various challenges. In this paper, we present a literature survey of the latest advances in researches on machine learning for big data processing. First, we review the machine learning techniques and highlight some promising learning methods in recent studies, such as representation learning, deep learning, distributed and parallel learning, transfer learning, active learning, and kernel-based learning. Next, we focus on the analysis and discussions about the challenges and possible solutions of machine learning for big data. Following that, we investigate the close connections of machine learning with signal processing techniques for big data processing. Finally, we outline several open issues and research trends.",891,EURASIP Journal on Advances in Signal Processing,https://openalex.org/W2406349003,https://doi.org/10.1186/s13634-016-0355-x,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.5,1.0,0.0,1.0,0.6
Painting a portrait of the Galactic disc with its stellar clusters,T. Cantat-Gaudin; F. Anders; A. Castro-Ginard; C. Jordi; M. Romero-Gómez; C. Soubiran; L. Casamiquela; Y. Tarricq; A. Moitinho; A. Vallenari; A. Bragaglia; A. Krone-Martins; Marina Kounkel,2020,10.1051/0004-6361/202038192,"Context. The large astrometric and photometric survey performed by the Gaia mission allows for a panoptic view of the Galactic disc and its stellar cluster population. Hundreds of stellar clusters were only discovered after the latest Gaia data release (DR2) and have yet to be characterised. Aims. Here we make use of the deep and homogeneous Gaia photometry down to G = 18 to estimate the distance, age, and interstellar reddening for about 2000 stellar clusters identified with Gaia DR2 astrometry. We use these objects to study the structure and evolution of the Galactic disc. Methods. We relied on a set of objects with well-determined parameters in the literature to train an artificial neural network to estimate parameters from the Gaia photometry of cluster members and their mean parallax. Results. We obtain reliable parameters for 1867 clusters. Our catalogue confirms the relative lack of old stellar clusters in the inner disc (with a few notable exceptions). We also quantify and discuss the variation of scale height with cluster age, and we detect the Galactic warp in the distribution of old clusters. Conclusions. This work results in a large and homogeneous cluster catalogue, allowing one to trace the structure of the disc out to distances of ∼4 kpc. However, the present sample is still unable to trace the outer spiral arm of the Milky Way, which indicates that the outer disc cluster census might still be incomplete.",542,Astronomy and Astrophysics,https://openalex.org/W3017279354,https://doi.org/10.1051/0004-6361/202038192,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.25,0.9269,0.4,1.0,0.5581
Application of convolutional neural networks for stellar spectral classification,Kaushal Kumar Sharma; Ajit Kembhavi; Aniruddha Kembhavi; T. Sivarani; Sheelu Abraham; Kaustubh Vaghmare,2019,10.1093/mnras/stz3100,"ABSTRACT Due to the ever-expanding volume of observed spectroscopic data from surveys such as SDSS and LAMOST, it has become important to apply artificial intelligence (AI) techniques for analysing stellar spectra to solve spectral classification and regression problems like the determination of stellar atmospheric parameters Teff, $\rm {\log g}$, and [Fe/H]. We propose an automated approach for the classification of stellar spectra in the optical region using convolutional neural networks (CNNs). Traditional machine learning (ML) methods with ‘shallow’ architecture (usually up to two hidden layers) have been trained for these purposes in the past. However, deep learning methods with a larger number of hidden layers allow the use of finer details in the spectrum which results in improved accuracy and better generalization. Studying finer spectral signatures also enables us to determine accurate differential stellar parameters and find rare objects. We examine various machine and deep learning algorithms like artificial neural networks, Random Forest, and CNN to classify stellar spectra using the Jacoby Atlas, ELODIE, and MILES spectral libraries as training samples. We test the performance of the trained networks on the Indo-U.S. Library of Coudé Feed Stellar Spectra (CFLIB). We show that using CNNs, we are able to lower the error up to 1.23 spectral subclasses as compared to that of two subclasses achieved in the past studies with ML approach. We further apply the trained model to classify stellar spectra retrieved from the SDSS data base with SNR &amp;gt; 20.",81,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W2987499710,https://doi.org/10.1093/mnras/stz3100,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.475,0.6487,0.3,1.0,0.5446
Planets and stellar activity: hide and seek in the CoRoT-7 system★,R. D. Haywood; A. Collier Cameron; D. Queloz; S. C. C. Barros; M. Deleuil; R. Farès; M. Gillon; A. F. Lanza; C. Lovis; C. Moutou; F. Pepe; D. Pollacco; A. Santerne; D. Ségransan; Y. C. Unruh,2014,10.1093/mnras/stu1320,"Since the discovery of the transiting super-Earth CoRoT-7b, several investigations have yielded different results for the number and masses of planets present in the system, mainly owing to the star's high level of activity. We re-observed CoRoT-7 in 2012 January with both HARPS and CoRoT, so that we now have the benefit of simultaneous radial-velocity and photometric data. This allows us to use the off-transit variations in the star's light curve to estimate the radial-velocity variations induced by the suppression of convective blueshift and the flux blocked by starspots. To account for activity-related effects in the radial velocities which do not have a photometric signature, we also include an additional activity term in the radial-velocity model, which we treat as a Gaussian process with the same covariance properties (and hence the same frequency structure) as the light curve. Our model was incorporated into a Monte Carlo Markov Chain in order to make a precise determination of the orbits of CoRoT-7b and CoRoT-7c. We measure the masses of planets b and c to be 4.73 ± 0.95 and 13.56 ± 1.08 M⊕, respectively. The density of CoRoT-7b is (6.61 ± 1.72)(Rp/1.58 R⊕)−3 g cm−3, which is compatible with a rocky composition. We search for evidence of an additional planet d, identified by previous authors with a period close to 9 d. We are not able to confirm the existence of a planet with this orbital period, which is close to the second harmonic of the stellar rotation at ∼7.9 d. Using Bayesian model selection, we find that a model with two planets plus activity-induced variations is most favoured.",520,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W2088072491,https://doi.org/10.1093/mnras/stu1320,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.25,0.9208,0.0,1.0,0.4763
A Gaussian process framework for modelling stellar activity signals in radial velocity data,Vinesh Rajpaul; S. Aigrain; Michael A. Osborne; Steven Reece; Stephen Roberts,2015,10.1093/mnras/stv1428,"To date, the radial velocity (RV) method has been one of the most productive techniques for detecting and confirming extrasolar planetary candidates. Unfortunately, stellar activity can induce RV variations which can drown out or even mimic planetary signals – and it is notoriously difficult to model and thus mitigate the effects of these activity-induced nuisance signals. This is expected to be a major obstacle to using next-generation spectrographs to detect lower mass planets, planets with longer periods, and planets around more active stars. Enter Gaussian processes (GPs) which, we note, have a number of attractive features that make them very well suited to disentangling stellar activity signals from planetary signals. We present here a GP framework we developed to model RV time series jointly with ancillary activity indicators (e.g. bisector velocity spans, line widths, chromospheric activity indices), allowing the activity component of RV time series to be constrained and disentangled from e.g. planetary components. We discuss the mathematical details of our GP framework, and present results illustrating its encouraging performance on both synthetic and real RV data sets, including the publicly available Alpha Centauri B data set.",415,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W1883251007,https://doi.org/10.1093/mnras/stv1428,machine learning stellar spectra,2026-07-18T08:53:25+00:00,0.25,0.8877,0.0,1.0,0.4663
